
   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server

  2025-08-11 14:06:53 /login ..................................... ~ 500.35ms
  2025-08-11 14:06:54 /build/assets/app-HqbtkKA9.css ............. ~ 500.37ms
  2025-08-11 14:06:54 /build/assets/login-ym3gFLih.js ............ ~ 500.68ms
  2025-08-11 14:06:54 /build/assets/app-BI5U44id.js .............. ~ 501.00ms
  2025-08-11 14:06:54 /build/assets/label-DaCOvYC4.js ............ ~ 501.31ms
  2025-08-11 14:06:54 /build/assets/text-link-D4dxTEat.js ........ ~ 501.56ms
  2025-08-11 14:06:54 /build/assets/app-logo-icon-BTT_CVoL.js .... ~ 501.74ms
  2025-08-11 14:06:55 /build/assets/index-EqmXnzIr.js .............. ~ 0.06ms
  2025-08-11 14:06:55 /build/assets/index-D1AZekuB.js .............. ~ 1.61ms
  2025-08-11 14:06:55 /build/assets/login-ym3gFLih.js .............. ~ 1.90ms
  2025-08-11 14:06:55 /build/assets/auth-layout-BmCCpopn.js ........ ~ 0.66ms
  2025-08-11 14:06:55 /build/assets/label-DaCOvYC4.js .............. ~ 0.24ms
  2025-08-11 14:06:55 /build/assets/app-BI5U44id.js ................ ~ 1.13ms
  2025-08-11 14:06:55 /build/assets/text-link-D4dxTEat.js .......... ~ 1.47ms
  2025-08-11 14:06:55 /build/assets/app-logo-icon-BTT_CVoL.js ...... ~ 2.14ms
  2025-08-11 14:06:55 /build/assets/app-HqbtkKA9.css ............... ~ 2.34ms
  2025-08-11 14:06:55 /favicon.svg ................................. ~ 0.15ms
  2025-08-11 14:06:55 /favicon.ico ................................. ~ 0.04ms
  2025-08-11 14:22:00 /login ....................................... ~ 2.65ms
  2025-08-11 14:22:01 /build/assets/app-B-bcC63G.css ............... ~ 0.27ms
  2025-08-11 14:22:01 /build/assets/app-DnBggjF4.js ................ ~ 3.89ms
  2025-08-11 14:22:01 /build/assets/login-BQk6J3ra.js .............. ~ 4.41ms
  2025-08-11 14:22:01 /build/assets/label-YtuuS6du.js .............. ~ 4.70ms
  2025-08-11 14:22:01 /build/assets/text-link-BgbCz3yV.js .......... ~ 4.98ms
  2025-08-11 14:22:01 /build/assets/theme-toggle-CZcvgrUt.js ....... ~ 7.42ms
  2025-08-11 14:22:01 /build/assets/auth-layout-CwRXPwgw.js ............ ~ 1s
  2025-08-11 14:22:02 /build/assets/app-B-bcC63G.css ............... ~ 4.33ms
  2025-08-11 14:22:03 /favicon.svg ................................. ~ 0.25ms
  2025-08-11 14:22:03 /build/assets/fa-solid-900-BQpGBb1f.woff2 .... ~ 1.11ms
  2025-08-11 14:22:03 /favicon.ico ............................... ~ 500.40ms
  2025-08-11 14:22:14 /theme/update ................................ ~ 0.20ms
  2025-08-11 14:22:37 /theme/update .............................. ~ 500.50ms
  2025-08-11 14:22:40 /theme/update ................................ ~ 0.22ms
  2025-08-11 14:22:43 /theme/update ................................ ~ 0.13ms
  2025-08-11 14:23:02 /theme/update ................................ ~ 0.44ms
